cliente,estado,fechaHora,fecha,idMesa,numMesa,discoteca
Maria Diaz,Confirmado,2023-01-02 00:00:00,2023-01-03,58,1,Zouk Boulevard
Pedro Garcia,Confirmado,2023-01-02 00:00:00,2023-01-05,58,1,Zouk Boulevard
Julio Ramirez,Confirmado,2023-01-02 00:00:00,2023-01-06,58,1,Zouk Boulevard
Rodrigo Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,59,2,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-03,61,4,Zouk Boulevard
Alejandro Lopez,Confirmado,2023-01-02 00:00:00,2023-01-07,61,4,Zouk Boulevard
Bruno Martines,Confirmado,2023-01-02 00:00:00,2023-01-04,65,8,Zouk Boulevard
Carlos Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,66,9,Zouk Boulevard
Alejandro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,67,10,Zouk Boulevard
Carla Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-03,68,11,Zouk Boulevard
Fausto Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-06,68,11,Zouk Boulevard
Facundo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-04,69,12,Zouk Boulevard
Tatiana Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-05,71,14,Zouk Boulevard
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-04,72,15,Zouk Boulevard
Carla Torres,Confirmado,2023-01-02 00:00:00,2023-01-07,72,15,Zouk Boulevard
Maria Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-06,73,16,Zouk Boulevard
Julio Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-07,73,16,Zouk Boulevard
Julio Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-05,74,17,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,75,18,Zouk Boulevard
Facundo Perez,Confirmado,2023-01-02 00:00:00,2023-01-05,76,19,Zouk Boulevard
Facundo Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,103,2,Forum
Alejandro Lopez,Confirmado,2023-01-02 00:00:00,2023-01-03,104,3,Forum
Bruno Diaz,Confirmado,2023-01-02 00:00:00,2023-01-04,104,3,Forum
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-07,105,4,Forum
Bruno Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,106,5,Forum
Pedro Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-03,109,8,Forum
Tatiana Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-07,109,8,Forum
Carlos Perez,Confirmado,2023-01-02 00:00:00,2023-01-06,110,9,Forum
Maria Martines,Confirmado,2023-01-02 00:00:00,2023-01-04,111,10,Forum
Bruno Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-06,113,12,Forum
Pedro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,114,13,Forum
Carla Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-04,114,13,Forum
Rodrigo Lopez,Confirmado,2023-01-02 00:00:00,2023-01-05,114,13,Forum
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-06,116,15,Forum
Carlos Torres,Confirmado,2023-01-02 00:00:00,2023-01-04,117,16,Forum
Rodrigo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-07,118,17,Forum
Rodrigo Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-06,119,18,Forum
Julio Perez,Confirmado,2023-01-02 00:00:00,2023-01-03,120,19,Forum
Pedro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-05,120,19,Forum
Tatiana Garcia,Confirmado,2023-01-02 00:00:00,2023-01-06,120,19,Forum
Alejandro Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-03,121,20,Forum
Rodrigo Martines,Confirmado,2023-01-02 00:00:00,2023-01-07,121,20,Forum
Pedro Alonso,Confirmado,2023-01-02 00:00:00,2023-01-03,123,22,Forum
Maria Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-06,123,22,Forum
Pedro Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,124,23,Forum
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-05,127,26,Forum
Rodrigo Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,127,26,Forum
Enrique Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-07,127,26,Forum
Rodrigo Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,128,27,Forum
Rodrigo Diaz,Confirmado,2023-01-03 00:00:00,2023-01-06,18,3,Pacha
Tatiana Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-07,18,3,Pacha
Pedro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-06,25,10,Pacha
Pedro Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-04,28,13,Pacha
Facundo Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-06,32,17,Pacha
Juan Garcia,Confirmado,2023-01-03 00:00:00,2023-01-07,59,2,Zouk Boulevard
Rodrigo Fernandez,Confirmado,2023-01-03 00:00:00,2023-01-05,60,3,Zouk Boulevard
Tatiana Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-04,61,4,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-07,65,8,Zouk Boulevard
Maria Castillo,Confirmado,2023-01-03 00:00:00,2023-01-04,67,10,Zouk Boulevard
Alejandro Lopez,Confirmado,2023-01-03 00:00:00,2023-01-05,67,10,Zouk Boulevard
Carla Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-06,67,10,Zouk Boulevard
Belen Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-05,69,12,Zouk Boulevard
Maria Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-06,69,12,Zouk Boulevard
Bruno Castillo,Confirmado,2023-01-03 00:00:00,2023-01-07,70,13,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-03 00:00:00,2023-01-04,71,14,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-06,77,20,Zouk Boulevard
Enrique Perez,Confirmado,2023-01-03 00:00:00,2023-01-07,77,20,Zouk Boulevard
Julio Ramirez,Confirmado,2023-01-03 00:00:00,2023-01-05,102,1,Forum
Julio Fernandez,Confirmado,2023-01-03 00:00:00,2023-01-07,103,2,Forum
Belen Martines,Confirmado,2023-01-03 00:00:00,2023-01-04,107,6,Forum
Facundo Perez,Confirmado,2023-01-03 00:00:00,2023-01-04,108,7,Forum
Rodrigo Alonso,Confirmado,2023-01-03 00:00:00,2023-01-05,108,7,Forum
Enrique Perez,Confirmado,2023-01-03 00:00:00,2023-01-04,109,8,Forum
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-05,110,9,Forum
Carla Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-05,111,10,Forum
Bruno Diaz,Confirmado,2023-01-03 00:00:00,2023-01-06,111,10,Forum
Alejandro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-05,112,11,Forum
Tatiana Garcia,Confirmado,2023-01-03 00:00:00,2023-01-06,115,14,Forum
Tatiana Martines,Confirmado,2023-01-03 00:00:00,2023-01-06,118,17,Forum
Carla Alonso,Confirmado,2023-01-03 00:00:00,2023-01-04,119,18,Forum
Enrique Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-05,121,20,Forum
Alejandro Torres,Confirmado,2023-01-03 00:00:00,2023-01-05,124,23,Forum
Julio Perez,Confirmado,2023-01-03 00:00:00,2023-01-06,126,25,Forum
Alejandro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-05,128,27,Forum
Alejandro Pedregal,Confirmado,2023-01-04 00:00:00,2023-01-05,16,1,Pacha
Carla Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,16,1,Pacha
Julio Garcia,Confirmado,2023-01-04 00:00:00,2023-01-07,17,2,Pacha
Bruno Jimenez,Confirmado,2023-01-04 00:00:00,2023-01-05,19,4,Pacha
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-06,20,5,Pacha
Maria Perez,Confirmado,2023-01-04 00:00:00,2023-01-06,21,6,Pacha
Rodrigo Diaz,Confirmado,2023-01-04 00:00:00,2023-01-06,26,11,Pacha
Belen Diaz,Confirmado,2023-01-04 00:00:00,2023-01-06,30,15,Pacha
Carla Torres,Confirmado,2023-01-04 00:00:00,2023-01-07,60,3,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-06,65,8,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-07,67,10,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-04 00:00:00,2023-01-06,72,15,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-07,74,17,Zouk Boulevard
Bruno Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-06,102,1,Forum
Facundo Perez,Confirmado,2023-01-04 00:00:00,2023-01-07,102,1,Forum
Maria Perez,Confirmado,2023-01-04 00:00:00,2023-01-05,103,2,Forum
Carla Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,106,5,Forum
Juan Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,108,7,Forum
Pedro Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-06,109,8,Forum
Facundo Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-07,110,9,Forum
Bruno Jimenez,Confirmado,2023-01-04 00:00:00,2023-01-06,114,13,Forum
Enrique Lopez,Cancelado,2023-01-04 00:00:00,2023-01-05,115,14,Forum
Carla Diaz,Confirmado,2023-01-04 00:00:00,2023-01-07,115,14,Forum
Facundo Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-06,117,16,Forum
Pedro Martines,Confirmado,2023-01-04 00:00:00,2023-01-05,119,18,Forum
Bruno Alonso,Confirmado,2023-01-04 00:00:00,2023-01-06,122,21,Forum
Bruno Alonso,Confirmado,2023-01-04 00:00:00,2023-01-07,122,21,Forum
Facundo Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-07,124,23,Forum
Rodrigo Pedregal,Confirmado,2023-01-04 00:00:00,2023-01-05,125,24,Forum
Facundo Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-06,125,24,Forum
Julio Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,17,2,Pacha
Rodrigo Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,19,4,Pacha
Pedro Sanchez,Confirmado,2023-01-05 00:00:00,2023-01-07,28,13,Pacha
Facundo Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,29,14,Pacha
Alejandro Pedregal,Confirmado,2023-01-05 00:00:00,2023-01-07,30,15,Pacha
Julio Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,31,16,Pacha
Bruno Alonso,Cancelado,2023-01-05 00:00:00,2023-01-06,59,2,Zouk Boulevard
Belen Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,60,3,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,61,4,Zouk Boulevard
Carla Alonso,Confirmado,2023-01-05 00:00:00,2023-01-06,66,9,Zouk Boulevard
Carlos Torres,Confirmado,2023-01-05 00:00:00,2023-01-07,66,9,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-05 00:00:00,2023-01-07,69,12,Zouk Boulevard
Pedro Alonso,Confirmado,2023-01-05 00:00:00,2023-01-06,71,14,Zouk Boulevard
Julio Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,74,17,Zouk Boulevard
Rodrigo Martines,Confirmado,2023-01-05 00:00:00,2023-01-06,76,19,Zouk Boulevard
Carla Fernandez,Confirmado,2023-01-05 00:00:00,2023-01-07,112,11,Forum
Belen Diaz,Confirmado,2023-01-05 00:00:00,2023-01-07,114,13,Forum
Tatiana Pedregal,Confirmado,2023-01-05 00:00:00,2023-01-07,119,18,Forum
Juan Garcia,Confirmado,2023-01-05 00:00:00,2023-01-07,120,19,Forum
Rodrigo Sanchez,Confirmado,2023-01-05 00:00:00,2023-01-07,123,22,Forum
Maria Fernandez,Confirmado,2023-01-06 00:00:00,2023-01-07,19,4,Pacha
Fausto Jimenez,Confirmado,2023-01-06 00:00:00,2023-01-07,20,5,Pacha
Julio Ramirez,Confirmado,2023-01-06 00:00:00,2023-01-07,21,6,Pacha
Maria Pedregal,Cancelado,2023-01-06 00:00:00,2023-01-07,27,12,Pacha
Rodrigo Garcia,Confirmado,2023-01-06 00:00:00,2023-01-07,29,14,Pacha
Julio Lopez,Confirmado,2023-01-06 00:00:00,2023-01-07,32,17,Pacha
Rodrigo Lopez,Confirmado,2023-01-06 00:00:00,2023-01-07,58,1,Zouk Boulevard
Bruno Alonso,Confirmado,2023-01-06 00:00:00,2023-01-07,68,11,Zouk Boulevard
Tatiana Pedregal,Confirmado,2023-01-06 00:00:00,2023-01-07,71,14,Zouk Boulevard
Rodrigo Gonzales,Confirmado,2023-01-06 00:00:00,2023-01-07,75,18,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-06 00:00:00,2023-01-07,76,19,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-06 00:00:00,2023-01-07,104,3,Forum
Carla Sanchez,Confirmado,2023-01-06 00:00:00,2023-01-07,107,6,Forum
Carlos Pedregal,Confirmado,2023-01-06 00:00:00,2023-01-07,117,16,Forum
Julio Garcia,Confirmado,2023-01-06 00:00:00,2023-01-07,125,24,Forum
Carla Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-10,16,1,Pacha
Facundo Perez,Confirmado,2023-01-08 00:00:00,2023-01-14,16,1,Pacha
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,17,2,Pacha
Maria Castillo,Confirmado,2023-01-08 00:00:00,2023-01-10,19,4,Pacha
Rodrigo Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-09,20,5,Pacha
Carlos Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-14,20,5,Pacha
Carlos Perez,Confirmado,2023-01-08 00:00:00,2023-01-08,21,6,Pacha
Facundo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-14,25,10,Pacha
Maria Torres,Confirmado,2023-01-08 00:00:00,2023-01-09,27,12,Pacha
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,27,12,Pacha
Bruno Diaz,Confirmado,2023-01-08 00:00:00,2023-01-09,30,15,Pacha
Maria Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-10,30,15,Pacha
Tatiana Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-14,31,16,Pacha
Tatiana Martines,Confirmado,2023-01-08 00:00:00,2023-01-09,32,17,Pacha
Rodrigo Garcia,Confirmado,2023-01-08 00:00:00,2023-01-09,58,1,Zouk Boulevard
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-09,59,2,Zouk Boulevard
Tatiana Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-10,59,2,Zouk Boulevard
Alejandro Torres,Confirmado,2023-01-08 00:00:00,2023-01-12,59,2,Zouk Boulevard
Bruno Alonso,Cancelado,2023-01-08 00:00:00,2023-01-12,60,3,Zouk Boulevard
Carlos Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-13,60,3,Zouk Boulevard
Maria Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-09,61,4,Zouk Boulevard
Rodrigo Garcia,Confirmado,2023-01-08 00:00:00,2023-01-10,65,8,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-08 00:00:00,2023-01-12,65,8,Zouk Boulevard
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-09,67,10,Zouk Boulevard
Rodrigo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-11,67,10,Zouk Boulevard
Maria Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-14,67,10,Zouk Boulevard
Facundo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-09,68,11,Zouk Boulevard
Rodrigo Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-13,68,11,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-08 00:00:00,2023-01-10,70,13,Zouk Boulevard
Maria Castillo,Cancelado,2023-01-08 00:00:00,2023-01-14,70,13,Zouk Boulevard
Bruno Alonso,Confirmado,2023-01-08 00:00:00,2023-01-09,71,14,Zouk Boulevard
Rodrigo Lopez,Confirmado,2023-01-08 00:00:00,2023-01-14,71,14,Zouk Boulevard
Maria Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-09,72,15,Zouk Boulevard
Pedro Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-11,72,15,Zouk Boulevard
Maria Jimenez,Cancelado,2023-01-08 00:00:00,2023-01-09,74,17,Zouk Boulevard
Rodrigo Alonso,Confirmado,2023-01-08 00:00:00,2023-01-12,74,17,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-08 00:00:00,2023-01-12,76,19,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-08 00:00:00,2023-01-14,103,2,Forum
Rodrigo Garcia,Confirmado,2023-01-08 00:00:00,2023-01-10,104,3,Forum
Bruno Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-09,107,6,Forum
Bruno Diaz,Confirmado,2023-01-08 00:00:00,2023-01-10,107,6,Forum
Alejandro Torres,Confirmado,2023-01-08 00:00:00,2023-01-14,107,6,Forum
Tatiana Pedregal,Cancelado,2023-01-08 00:00:00,2023-01-08,108,7,Forum
Pedro Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-09,108,7,Forum
Maria Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-09,109,8,Forum
Carla Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-09,110,9,Forum
Juan Garcia,Confirmado,2023-01-08 00:00:00,2023-01-13,110,9,Forum
Pedro Alonso,Confirmado,2023-01-08 00:00:00,2023-01-11,112,11,Forum
Rodrigo Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-13,113,12,Forum
Rodrigo Lopez,Confirmado,2023-01-08 00:00:00,2023-01-09,115,14,Forum
Enrique Perez,Confirmado,2023-01-08 00:00:00,2023-01-09,116,15,Forum
Carla Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-09,117,16,Forum
Bruno Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-09,119,18,Forum
Alejandro Lopez,Confirmado,2023-01-08 00:00:00,2023-01-13,119,18,Forum
Pedro Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-08,120,19,Forum
Maria Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-09,121,20,Forum
Carlos Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-12,121,20,Forum
Carlos Perez,Confirmado,2023-01-08 00:00:00,2023-01-09,123,22,Forum
Carla Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-12,123,22,Forum
Rodrigo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-14,123,22,Forum
Maria Castillo,Confirmado,2023-01-08 00:00:00,2023-01-12,124,23,Forum
Maria Perez,Confirmado,2023-01-08 00:00:00,2023-01-14,124,23,Forum
Maria Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-11,125,24,Forum
Maria Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-12,125,24,Forum
Belen Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-09,126,25,Forum
Julio Ramirez,Confirmado,2023-01-08 00:00:00,2023-01-11,126,25,Forum
Facundo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-09,127,26,Forum
Bruno Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-10,128,27,Forum
Tatiana Sanchez,Confirmado,2023-01-09 00:00:00,2023-01-12,16,1,Pacha
Enrique Gonzales,Cancelado,2023-01-09 00:00:00,2023-01-12,18,3,Pacha
Facundo Gonzales,Confirmado,2023-01-09 00:00:00,2023-01-13,19,4,Pacha
