cliente,estado,fechaHora,fecha,idMesa,discoteca
Maria Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-01,70,Zouk Boulevard
Alejandro Torres,Confirmado,2023-01-01 00:00:00,2023-01-03,70,Zouk Boulevard
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-05,70,Zouk Boulevard
Carla Diaz,Cancelado,2023-01-01 00:00:00,2023-01-06,70,Zouk Boulevard
Carla Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-01,73,Zouk Boulevard
Facundo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,74,Zouk Boulevard
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-02,75,Zouk Boulevard
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-03,76,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,77,Zouk Boulevard
Enrique Perez,Confirmado,2023-01-01 00:00:00,2023-01-02,104,Forum
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,104,Forum
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-06,104,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-05,105,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-06,105,Forum
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-05,106,Forum
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-03,107,Forum
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-06,107,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-06,108,Forum
Pedro Garcia,Confirmado,2023-01-01 00:00:00,2023-01-01,109,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-05,109,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-02,110,Forum
Tatiana Martines,Confirmado,2023-01-01 00:00:00,2023-01-02,111,Forum
Bruno Alonso,Confirmado,2023-01-01 00:00:00,2023-01-03,111,Forum
Belen Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-07,111,Forum
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-06,112,Forum
Bruno Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-03,113,Forum
Alejandro Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,113,Forum
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,113,Forum
Carla Diaz,Confirmado,2023-01-01 00:00:00,2023-01-02,114,Forum
Bruno Martines,Confirmado,2023-01-01 00:00:00,2023-01-02,115,Forum
Rodrigo Perez,Confirmado,2023-01-01 00:00:00,2023-01-04,115,Forum
Tatiana Martines,Confirmado,2023-01-01 00:00:00,2023-01-01,116,Forum
Julio Perez,Confirmado,2023-01-01 00:00:00,2023-01-07,116,Forum
Bruno Alonso,Confirmado,2023-01-01 00:00:00,2023-01-03,118,Forum
Rodrigo Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-05,118,Forum
Tatiana Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,121,Forum
Julio Garcia,Confirmado,2023-01-01 00:00:00,2023-01-06,121,Forum
Carla Diaz,Cancelado,2023-01-01 00:00:00,2023-01-04,122,Forum
Rodrigo Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,124,Forum
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-03,125,Forum
Facundo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-05,126,Forum
Maria Lopez,Confirmado,2023-01-01 00:00:00,2023-01-07,126,Forum
Rodrigo Diaz,Cancelado,2023-01-01 00:00:00,2023-01-03,127,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,128,Forum
Maria Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-07,1,Malegria
Rodrigo Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-06,3,Malegria
Pedro Garcia,Confirmado,2023-01-02 00:00:00,2023-01-07,4,Malegria
Facundo Perez,Confirmado,2023-01-02 00:00:00,2023-01-03,7,Malegria
Juan Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-03,9,Malegria
Maria Diaz,Confirmado,2023-01-02 00:00:00,2023-01-03,10,Malegria
Rodrigo Garcia,Confirmado,2023-01-02 00:00:00,2023-01-04,10,Malegria
Maria Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-05,10,Malegria
Rodrigo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-03,11,Malegria
Tatiana Garcia,Confirmado,2023-01-02 00:00:00,2023-01-04,11,Malegria
Rodrigo Garcia,Confirmado,2023-01-02 00:00:00,2023-01-06,12,Malegria
Belen Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-07,13,Malegria
Alejandro Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-06,14,Malegria
Facundo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-06,16,Pacha
Pedro Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-05,17,Pacha
Maria Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-04,19,Pacha
Juan Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-03,20,Pacha
Carlos Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-04,20,Pacha
Rodrigo Alonso,Confirmado,2023-01-02 00:00:00,2023-01-03,27,Pacha
Juan Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-04,27,Pacha
Alejandro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,29,Pacha
Rodrigo Garcia,Confirmado,2023-01-02 00:00:00,2023-01-04,29,Pacha
Carla Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-05,29,Pacha
Pedro Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-03,30,Pacha
Maria Castillo,Confirmado,2023-01-02 00:00:00,2023-01-05,30,Pacha
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-05,31,Pacha
Enrique Perez,Confirmado,2023-01-02 00:00:00,2023-01-03,32,Pacha
Maria Diaz,Confirmado,2023-01-02 00:00:00,2023-01-03,58,Zouk Boulevard
Pedro Garcia,Confirmado,2023-01-02 00:00:00,2023-01-05,58,Zouk Boulevard
Julio Ramirez,Confirmado,2023-01-02 00:00:00,2023-01-06,58,Zouk Boulevard
Rodrigo Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,59,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-03,61,Zouk Boulevard
Alejandro Lopez,Confirmado,2023-01-02 00:00:00,2023-01-07,61,Zouk Boulevard
Bruno Martines,Confirmado,2023-01-02 00:00:00,2023-01-04,65,Zouk Boulevard
Carlos Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,66,Zouk Boulevard
Alejandro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,67,Zouk Boulevard
Carla Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-03,68,Zouk Boulevard
Fausto Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-06,68,Zouk Boulevard
Facundo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-04,69,Zouk Boulevard
Tatiana Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-05,71,Zouk Boulevard
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-04,72,Zouk Boulevard
Carla Torres,Confirmado,2023-01-02 00:00:00,2023-01-07,72,Zouk Boulevard
Maria Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-06,73,Zouk Boulevard
Julio Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-07,73,Zouk Boulevard
Julio Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-05,74,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,75,Zouk Boulevard
Facundo Perez,Confirmado,2023-01-02 00:00:00,2023-01-05,76,Zouk Boulevard
Facundo Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,103,Forum
Alejandro Lopez,Confirmado,2023-01-02 00:00:00,2023-01-03,104,Forum
Bruno Diaz,Confirmado,2023-01-02 00:00:00,2023-01-04,104,Forum
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-07,105,Forum
Bruno Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,106,Forum
Pedro Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-03,109,Forum
Tatiana Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-07,109,Forum
Carlos Perez,Confirmado,2023-01-02 00:00:00,2023-01-06,110,Forum
Maria Martines,Confirmado,2023-01-02 00:00:00,2023-01-04,111,Forum
Bruno Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-06,113,Forum
Pedro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,114,Forum
Carla Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-04,114,Forum
Rodrigo Lopez,Confirmado,2023-01-02 00:00:00,2023-01-05,114,Forum
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-06,116,Forum
Carlos Torres,Confirmado,2023-01-02 00:00:00,2023-01-04,117,Forum
Rodrigo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-07,118,Forum
Rodrigo Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-06,119,Forum
Julio Perez,Confirmado,2023-01-02 00:00:00,2023-01-03,120,Forum
Pedro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-05,120,Forum
Tatiana Garcia,Confirmado,2023-01-02 00:00:00,2023-01-06,120,Forum
Alejandro Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-03,121,Forum
Rodrigo Martines,Confirmado,2023-01-02 00:00:00,2023-01-07,121,Forum
Pedro Alonso,Confirmado,2023-01-02 00:00:00,2023-01-03,123,Forum
Maria Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-06,123,Forum
Pedro Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,124,Forum
Belen Diaz,Confirmado,2023-01-02 00:00:00,2023-01-05,127,Forum
Rodrigo Diaz,Confirmado,2023-01-02 00:00:00,2023-01-06,127,Forum
Enrique Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-07,127,Forum
Rodrigo Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-06,128,Forum
Facundo Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-04,1,Malegria
Carlos Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-05,1,Malegria
Bruno Castillo,Cancelado,2023-01-03 00:00:00,2023-01-05,2,Malegria
Maria Castillo,Confirmado,2023-01-03 00:00:00,2023-01-06,2,Malegria
Juan Fernandez,Confirmado,2023-01-03 00:00:00,2023-01-05,4,Malegria
Facundo Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-06,4,Malegria
Bruno Martines,Confirmado,2023-01-03 00:00:00,2023-01-05,7,Malegria
Tatiana Martines,Confirmado,2023-01-03 00:00:00,2023-01-06,7,Malegria
Pedro Alonso,Confirmado,2023-01-03 00:00:00,2023-01-05,9,Malegria
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-07,10,Malegria
Facundo Perez,Confirmado,2023-01-03 00:00:00,2023-01-06,11,Malegria
Facundo Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-06,13,Malegria
Rodrigo Diaz,Confirmado,2023-01-03 00:00:00,2023-01-06,18,Pacha
Tatiana Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-07,18,Pacha
Pedro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-06,25,Pacha
Pedro Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-04,28,Pacha
Facundo Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-06,32,Pacha
Juan Garcia,Confirmado,2023-01-03 00:00:00,2023-01-07,59,Zouk Boulevard
Rodrigo Fernandez,Confirmado,2023-01-03 00:00:00,2023-01-05,60,Zouk Boulevard
Tatiana Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-04,61,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-07,65,Zouk Boulevard
Maria Castillo,Confirmado,2023-01-03 00:00:00,2023-01-04,67,Zouk Boulevard
Alejandro Lopez,Confirmado,2023-01-03 00:00:00,2023-01-05,67,Zouk Boulevard
Carla Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-06,67,Zouk Boulevard
Belen Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-05,69,Zouk Boulevard
Maria Sanchez,Confirmado,2023-01-03 00:00:00,2023-01-06,69,Zouk Boulevard
Bruno Castillo,Confirmado,2023-01-03 00:00:00,2023-01-07,70,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-03 00:00:00,2023-01-04,71,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-06,77,Zouk Boulevard
Enrique Perez,Confirmado,2023-01-03 00:00:00,2023-01-07,77,Zouk Boulevard
Julio Ramirez,Confirmado,2023-01-03 00:00:00,2023-01-05,102,Forum
Julio Fernandez,Confirmado,2023-01-03 00:00:00,2023-01-07,103,Forum
Belen Martines,Confirmado,2023-01-03 00:00:00,2023-01-04,107,Forum
Facundo Perez,Confirmado,2023-01-03 00:00:00,2023-01-04,108,Forum
Rodrigo Alonso,Confirmado,2023-01-03 00:00:00,2023-01-05,108,Forum
Enrique Perez,Confirmado,2023-01-03 00:00:00,2023-01-04,109,Forum
Carlos Lopez,Confirmado,2023-01-03 00:00:00,2023-01-05,110,Forum
Carla Pedregal,Confirmado,2023-01-03 00:00:00,2023-01-05,111,Forum
Bruno Diaz,Confirmado,2023-01-03 00:00:00,2023-01-06,111,Forum
Alejandro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-05,112,Forum
Tatiana Garcia,Confirmado,2023-01-03 00:00:00,2023-01-06,115,Forum
Tatiana Martines,Confirmado,2023-01-03 00:00:00,2023-01-06,118,Forum
Carla Alonso,Confirmado,2023-01-03 00:00:00,2023-01-04,119,Forum
Enrique Gonzales,Confirmado,2023-01-03 00:00:00,2023-01-05,121,Forum
Alejandro Torres,Confirmado,2023-01-03 00:00:00,2023-01-05,124,Forum
Julio Perez,Confirmado,2023-01-03 00:00:00,2023-01-06,126,Forum
Alejandro Jimenez,Confirmado,2023-01-03 00:00:00,2023-01-05,128,Forum
Maria Martines,Confirmado,2023-01-04 00:00:00,2023-01-07,2,Malegria
Pedro Pedregal,Cancelado,2023-01-04 00:00:00,2023-01-05,8,Malegria
Tatiana Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,8,Malegria
Facundo Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-06,10,Malegria
Maria Jimenez,Confirmado,2023-01-04 00:00:00,2023-01-07,11,Malegria
Alejandro Pedregal,Confirmado,2023-01-04 00:00:00,2023-01-05,16,Pacha
Carla Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,16,Pacha
Julio Garcia,Confirmado,2023-01-04 00:00:00,2023-01-07,17,Pacha
Bruno Jimenez,Confirmado,2023-01-04 00:00:00,2023-01-05,19,Pacha
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-06,20,Pacha
Maria Perez,Confirmado,2023-01-04 00:00:00,2023-01-06,21,Pacha
Rodrigo Diaz,Confirmado,2023-01-04 00:00:00,2023-01-06,26,Pacha
Belen Diaz,Confirmado,2023-01-04 00:00:00,2023-01-06,30,Pacha
Carla Torres,Confirmado,2023-01-04 00:00:00,2023-01-07,60,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-06,65,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-07,67,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-04 00:00:00,2023-01-06,72,Zouk Boulevard
Carlos Lopez,Confirmado,2023-01-04 00:00:00,2023-01-07,74,Zouk Boulevard
Bruno Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-06,102,Forum
Facundo Perez,Confirmado,2023-01-04 00:00:00,2023-01-07,102,Forum
Maria Perez,Confirmado,2023-01-04 00:00:00,2023-01-05,103,Forum
Carla Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,106,Forum
Juan Fernandez,Confirmado,2023-01-04 00:00:00,2023-01-07,108,Forum
Pedro Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-06,109,Forum
Facundo Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-07,110,Forum
Bruno Jimenez,Confirmado,2023-01-04 00:00:00,2023-01-06,114,Forum
Enrique Lopez,Cancelado,2023-01-04 00:00:00,2023-01-05,115,Forum
Carla Diaz,Confirmado,2023-01-04 00:00:00,2023-01-07,115,Forum
Facundo Sanchez,Confirmado,2023-01-04 00:00:00,2023-01-06,117,Forum
Pedro Martines,Confirmado,2023-01-04 00:00:00,2023-01-05,119,Forum
Bruno Alonso,Confirmado,2023-01-04 00:00:00,2023-01-06,122,Forum
Bruno Alonso,Confirmado,2023-01-04 00:00:00,2023-01-07,122,Forum
Facundo Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-07,124,Forum
Rodrigo Pedregal,Confirmado,2023-01-04 00:00:00,2023-01-05,125,Forum
Facundo Gonzales,Confirmado,2023-01-04 00:00:00,2023-01-06,125,Forum
Maria Pedregal,Confirmado,2023-01-05 00:00:00,2023-01-06,1,Malegria
Rodrigo Gonzales,Confirmado,2023-01-05 00:00:00,2023-01-07,7,Malegria
Rodrigo Alonso,Confirmado,2023-01-05 00:00:00,2023-01-06,8,Malegria
Rodrigo Martines,Confirmado,2023-01-05 00:00:00,2023-01-06,9,Malegria
Enrique Lopez,Confirmado,2023-01-05 00:00:00,2023-01-07,12,Malegria
Belen Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,15,Malegria
Julio Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,17,Pacha
Rodrigo Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,19,Pacha
Pedro Sanchez,Confirmado,2023-01-05 00:00:00,2023-01-07,28,Pacha
Facundo Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,29,Pacha
Alejandro Pedregal,Confirmado,2023-01-05 00:00:00,2023-01-07,30,Pacha
Julio Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,31,Pacha
Bruno Alonso,Cancelado,2023-01-05 00:00:00,2023-01-06,59,Zouk Boulevard
Belen Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,60,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-05 00:00:00,2023-01-06,61,Zouk Boulevard
Carla Alonso,Confirmado,2023-01-05 00:00:00,2023-01-06,66,Zouk Boulevard
Carlos Torres,Confirmado,2023-01-05 00:00:00,2023-01-07,66,Zouk Boulevard
Belen Diaz,Confirmado,2023-01-05 00:00:00,2023-01-07,69,Zouk Boulevard
Pedro Alonso,Confirmado,2023-01-05 00:00:00,2023-01-06,71,Zouk Boulevard
Julio Garcia,Confirmado,2023-01-05 00:00:00,2023-01-06,74,Zouk Boulevard
Rodrigo Martines,Confirmado,2023-01-05 00:00:00,2023-01-06,76,Zouk Boulevard
Carla Fernandez,Confirmado,2023-01-05 00:00:00,2023-01-07,112,Forum
Belen Diaz,Confirmado,2023-01-05 00:00:00,2023-01-07,114,Forum
Tatiana Pedregal,Confirmado,2023-01-05 00:00:00,2023-01-07,119,Forum
Juan Garcia,Confirmado,2023-01-05 00:00:00,2023-01-07,120,Forum
Rodrigo Sanchez,Confirmado,2023-01-05 00:00:00,2023-01-07,123,Forum
Belen Castillo,Confirmado,2023-01-06 00:00:00,2023-01-07,3,Malegria
Carla Sanchez,Confirmado,2023-01-06 00:00:00,2023-01-07,14,Malegria
Maria Fernandez,Confirmado,2023-01-06 00:00:00,2023-01-07,19,Pacha
Fausto Jimenez,Confirmado,2023-01-06 00:00:00,2023-01-07,20,Pacha
Julio Ramirez,Confirmado,2023-01-06 00:00:00,2023-01-07,21,Pacha
Maria Pedregal,Cancelado,2023-01-06 00:00:00,2023-01-07,27,Pacha
Rodrigo Garcia,Confirmado,2023-01-06 00:00:00,2023-01-07,29,Pacha
Julio Lopez,Confirmado,2023-01-06 00:00:00,2023-01-07,32,Pacha
Rodrigo Lopez,Confirmado,2023-01-06 00:00:00,2023-01-07,58,Zouk Boulevard
Bruno Alonso,Confirmado,2023-01-06 00:00:00,2023-01-07,68,Zouk Boulevard
Tatiana Pedregal,Confirmado,2023-01-06 00:00:00,2023-01-07,71,Zouk Boulevard
Rodrigo Gonzales,Confirmado,2023-01-06 00:00:00,2023-01-07,75,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-06 00:00:00,2023-01-07,76,Zouk Boulevard
Carlos Perez,Confirmado,2023-01-06 00:00:00,2023-01-07,104,Forum
Carla Sanchez,Confirmado,2023-01-06 00:00:00,2023-01-07,107,Forum
Carlos Pedregal,Confirmado,2023-01-06 00:00:00,2023-01-07,117,Forum
Julio Garcia,Confirmado,2023-01-06 00:00:00,2023-01-07,125,Forum
Rodrigo Lopez,Confirmado,2023-01-08 00:00:00,2023-01-09,1,Malegria
Bruno Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-13,1,Malegria
Maria Jimenez,Confirmado,2023-01-08 00:00:00,2023-01-14,1,Malegria
Enrique Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,2,Malegria
Maria Castillo,Confirmado,2023-01-08 00:00:00,2023-01-09,3,Malegria
Maria Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-09,7,Malegria
Belen Martines,Confirmado,2023-01-08 00:00:00,2023-01-09,8,Malegria
Rodrigo Lopez,Confirmado,2023-01-08 00:00:00,2023-01-12,8,Malegria
Maria Castillo,Confirmado,2023-01-08 00:00:00,2023-01-13,8,Malegria
Bruno Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,10,Malegria
Pedro Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-14,10,Malegria
Rodrigo Gonzales,Cancelado,2023-01-08 00:00:00,2023-01-09,12,Malegria
Facundo Perez,Confirmado,2023-01-08 00:00:00,2023-01-11,13,Malegria
Julio Garcia,Confirmado,2023-01-08 00:00:00,2023-01-09,14,Malegria
Carla Fernandez,Confirmado,2023-01-08 00:00:00,2023-01-10,16,Pacha
Facundo Perez,Confirmado,2023-01-08 00:00:00,2023-01-14,16,Pacha
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,17,Pacha
Maria Castillo,Confirmado,2023-01-08 00:00:00,2023-01-10,19,Pacha
Rodrigo Gonzales,Confirmado,2023-01-08 00:00:00,2023-01-09,20,Pacha
Carlos Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-14,20,Pacha
Carlos Perez,Confirmado,2023-01-08 00:00:00,2023-01-08,21,Pacha
Facundo Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-14,25,Pacha
Maria Torres,Confirmado,2023-01-08 00:00:00,2023-01-09,27,Pacha
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-11,27,Pacha
Bruno Diaz,Confirmado,2023-01-08 00:00:00,2023-01-09,30,Pacha
Maria Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-10,30,Pacha
Tatiana Sanchez,Confirmado,2023-01-08 00:00:00,2023-01-14,31,Pacha
Tatiana Martines,Confirmado,2023-01-08 00:00:00,2023-01-09,32,Pacha
Rodrigo Garcia,Confirmado,2023-01-08 00:00:00,2023-01-09,58,Zouk Boulevard
Rodrigo Diaz,Confirmado,2023-01-08 00:00:00,2023-01-09,59,Zouk Boulevard
Tatiana Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-10,59,Zouk Boulevard
Alejandro Torres,Confirmado,2023-01-08 00:00:00,2023-01-12,59,Zouk Boulevard
Bruno Alonso,Cancelado,2023-01-08 00:00:00,2023-01-12,60,Zouk Boulevard
Carlos Pedregal,Confirmado,2023-01-08 00:00:00,2023-01-13,60,Zouk Boulevard
